ID,COUNTRY,ISO3,GEO,DEV,YEAR,CAT1,CAT2,DESCR,AUTH,AUTHCAT,BIND,
1,Australia,AUS,East Asia & Pacific,HIC,2001,Disclosure requirements for non-financial institutions,OGD,Australia's Corporations Act of 2001 Requires Disclosure of Environmental Considerations Taken Into Account in Investment Decision-Making,Commonwealth of Australia,3,3,
2,Australia,AUS,East Asia & Pacific,HIC,2001,Disclosure requirements for non-financial institutions,OGD,Australia's Financial Services Reform Act Requires Disclosure on Labor, Environmental, Social, and Ethical Considerations,Commonwealth of Australia,3,3,
3,France,FRA,Europe & Central Asia,HIC,2001,Disclosure requirements for non-financial institutions,OGD,France's Act on Employee Savings (Loi Fabius, Act 2001-152) Requires Investors to Disclose Environmental and Social Considerations,Government of France,3,3,
4,France,FRA,Europe & Central Asia,HIC,2001,Disclosure requirements for non-financial institutions,OGD,France's New Economic Regulations Act Requires Publicly Traded Companies to Disclose Environmental Information,Government of France,3,3,
5,Sweden,SWE,Europe & Central Asia,HIC,2001,Disclosure requirements for non-financial institutions,OGD,Sweden's Pension Insurance Fund Act, as Amended – The 7th Pension Fund (AP7) Must Consider Environmental & Ethical Issues,Government of Sweden ,3,3,
6,Spain,ESP,Europe & Central Asia,HIC,2002,Disclosure requirements for non-financial institutions,OGD,Spain's Resolution of 25 March 2002 Requires Companies to Include Environment Impact Information in their Annual Accounts,Government of Spain ,3,3,
7,Belgium,BEL ,Europe & Central Asia,HIC,2003,Disclosure requirements for non-financial institutions,OGD,Belgium's Law on Supplementary Pensions Requires Disclosure of Social, Environmental, and Ethical Criteria,Belgian government ,3,3,
8,Turkey,,Europe & Central Asia,LMIC,2003,Green finance guidelines,GFP,Turkey's Corporate Governance Principles,Capital Markets Board of Turkey,3,2,
9,Belgium,BEL ,Europe & Central Asia,HIC,2004,Disclosure requirements for non-financial institutions,OGD,Belgium's Law on Collective Investment Portfolio Management Requires Disclosure of Social, Environmental, and Ethical Considerations,Financial Services and Markets Authority,2,3,
10,Indonesia,IDN,East Asia & Pacific,LMIC,2005,Disclosure requirements banks,GPP,Indonesia's Regulation on Asset Quality Rating for Commercial Banks (No. 7/2/PBI/2005) Requires the Inclusion of Environmental Measures in Assessments of Business Prospects,Bank of Indonesia,1,3,
11,Austria,AUT,Europe & Central Asia,HIC,2005,Disclosure requirements for non-financial institutions,OGD,Pension Fund Disclosure Requirements to Include ESG Factors (Pensionskassengesetz – PKG 2005),Austrian Financial Market Authority ,2,3,
12,Italy,ITA,Europe & Central Asia,HIC,2005,Disclosure requirements for non-financial institutions,OGD,Italy's Legislative Decree (252/2005) on the Regulation of Supplementary Pension Schemes Requires Reporting on Social, Ethical, and Environmental Issues, Italian Parliament,3,3,
13,Greece,GRC,Europe & Central Asia,HIC,2006,Disclosure requirements for non-financial institutions,OGD,Greek Law (3487/2006) Requires Environmental and Social Reporting by Certain Companies and Financial Institutions,Government of Greece ,3,3,
14,France,FRA,Europe & Central Asia,HIC,2007,Credit Allocation,GCA,Socially responsible and sustainable development savings account (Livret de Developpement durable),Government of France,3,3,
15,Australia,AUS,East Asia & Pacific,HIC,2007,Disclosure requirements for non-financial institutions,OGD,Australia's National Greenhouse and Energy Reporting Act 2007,Commonwealth of Australia,3,3,
16,Indonesia,IDN,East Asia & Pacific,LMIC,2007,Disclosure requirements for non-financial institutions,OGD,Law on Limited Liability Companies (40/2007) Requires Reporting on Environmental and Social Responsibility,Government of Indonesia,3,3,
17,China,CHN,East Asia & Pacific,LMIC,2007,Climate risk management,GPP,Green Credit Policy (2007) , PBoC, CBRC, MEP ,4,2,
18,Portugal,PRT,Europe & Central Asia,HIC,2007,Disclosure requirements for non-financial institutions,OGD,Principles of Corporate Governance of State-Owned Enterprises (Resolution of the Cabinet Council 49/2007),Government of Portugal ,3,2,
19,Saudi Arabia,SAU,Middle East & North Africa,HIC,2008,Climate risk management,GPP,Saudi Arabia's Risk Management Regulation Includes Provisions on Disaster Risk Management for Insurance Companies,Saudi Arabian Monetary Agency - Insurance Supervision Department,3,1,
"20,Brazil,BRA,Latin America & Caribbean,UMIC,2008,Credit Allocation,GCA,Resolution 3545
Protection of the Amazon Biome, sugar cane investment and labor standards,Brazilian Monetary Council (CMN),2,3,"
21,Brazil,BRA,Latin America & Caribbean,UMIC,2008,Credit Allocation,GCA,Protocolo de Intenções pela Responsabilidade Socioambiental,Ministry of Environment and the Brazilian Banks Federation (FEBRABAN),3,3,
"22,China,CHN,East Asia & Pacific,LMIC,2008,Disclosure requirements for non-financial institutions,OGD,Guidance Opinions on Strengthening the Oversight of Public Companies (""Green Securities Policy""), Ministry of Ecology and Environment,3,3,"
23,Brazil,BRA,Latin America & Caribbean,UMIC,2008,Green finance guidelines,GFP,Brazil's Green Protocol,BNDES and Brazilian banks,3,2,
24,United Kingdom,,Europe & Central Asia,HIC,2009,Green finance guidelines,GFP,Revised Guidance on the Scope of the Trustee Knowledge and Understanding (TKU) Requirements, HM Government,3,1,
25,United States of America,,North America,HIC,2009,Green finance guidelines,GFP,National Association of Insurance Commissioners (NAIC) Climate Risk Disclosure Survey,National Association of Insurance Commissioners (NAIC),3,1,
26,Bangladesh,BGD,South Asia,LIC,2009,Credit Allocation,GCA,Bangladesh's Refinancing Scheme for Renewable Energy and Green Financing,Bangladesh Bank (BB),1,3,
27,Pakistan,PAK,South Asia,LMIC,2009,Disclosure requirements for non-financial institutions,OGD,Pakistani Regulation (General Order: SRO 983(I)) Requires Public Companies to Disclose Corporate Social Responsibility (CSR) Activities,Securities and Exchange Commission of Pakistan ,2,3,
28,Japan,JAP,East Asia & Pacific,HIC,2010,Credit allocation,GCA,Concessional loans for priority sectors  (among others, Environment and energy business),Bank of Japan,1,3,
29,Brazil,BRA,Latin America & Caribbean,UMIC,2010,Credit Allocation,GCA,Brazilian Resolution 3.896/2010: Rural Credit for Low-Carbon Agriculture,BACEN (Banco Central do Brazil),1,3,
30,Brazil,BRA,Latin America & Caribbean,UMIC,2010,Credit Allocation,GCA,Rural Credit Resolution  Resolution BCB 3813/2009,Brazilian Monetary Council (CMN),2,3,
31,Canada,CAN,North America,HIC,2010,Disclosure requirements for non-financial institutions,OGD,National Instrument 51-102 Continuous Disclosure Obligations,Provincial Securities Regulators,2,3,
32,Italy,ITA,Europe & Central Asia,HIC,2010,Disclosure requirements for non-financial institutions,OGD,Italy's Regulation (N. 35/2010) Includes Provisions on Ethical and Socially Responsible Finance, Istituto per la Vigilanza sulle Assicurazioni,3,3,
33,Portugal,PRT,Europe & Central Asia,HIC,2010,Disclosure requirements for non-financial institutions,OGD,Financial Reporting Accounting Standard No. 26,Government of Portugal ,3,3,
34,South Korea,KOR,East Asia & Pacific,HIC,2010,Green finance guidelines,GFP,Framework Act on Low Carbon,Government of Korea,3,3,
35,Canada,CAN,North America,HIC,2010,Disclosure requirements for non-financial institutions,OGD,Guidance on Environmental Reporting (CSA Staff Notice 51-333),Canadian Securities Administrators,3,2,
36,United States of America,,North America,HIC,2010,Disclosure requirements for non-financial institutions,OGD,Guidance Regarding Disclosures Related to Climate Change in the United States,United States Securities and Exchange Commission (SEC) ,3,2,
